Date;Type;Gear;Name;Dist_km;Elv_meter;Elapsed_Time;Moving_Time;Start_Time;Day_of_Week;Speed_km/h;MaxSpeed_km/h;Elv_High_meter;Elv_Low_meter;Temp_°C;Cal;Energy_KJ;Segs;PRs;Group_Size;Kudos;Comments;Photos;Private;Visibility;Dist_start_to_end_km;Description;Tiles_calculated;Device_App;Activity_Id
2-11-2022;Ride;Stadsfiets; Middagrit;14.07;17;00:52:11;00:43:18;16:35:02;Friday;19.5;32.6;4;-7;14;264;140;13;;1;;;;Yes;Only you;1.09;Broken clouds, 7°C, Feels like 5°C, Humidity 63%, Wind 2m/s from NNW - by Klimat.app;;Garmin Edge 520 Plus;6667282033
2-10-2022;Ride;Stadsfiets; Middagrit;14.02;17;00:44:30;00:43:37;16:42:13;Thursday;19.3;26.1;6;-2;13;285;128;9;1;1;;;;Yes;Only you;0.81;Overcast clouds, 7°C, Feels like 5°C, Humidity 75%, Wind 4m/s from W - by Klimat.app;;Garmin Edge 520 Plus;6663334653
2-7-2022;Ride;Stadsfiets; Middagrit;12.97;20;00:47:18;00:46:07;13:28:03;Monday;16.9;34.7;11;0;;152;136;8;1;1;;;;Yes;Only you;0.85;Few clouds, 8°C, Feels like 4°C, Humidity 76%, Wind 6m/s from WNW - by Klimat.app;;Strava Android App;6644966105
2-5-2022;Ride;Single speed Schindelhauer Viktor (2018); Middagrit;80.23;151;03:09:45;02:58:43;11:56:21;Saturday;26.9;40.4;44;2;4;2,183;1,215;81;48;1;25;;1;;Everyone;0.87;Broken clouds, 7°C, Feels like 3°C, Humidity 80%, Wind 7m/s from WSW - by Klimat.app;;Garmin Edge 520 Plus;6635138805
2-2-2022;Ride;Stadsfiets; Middagrit;13.94;14;05:18:39;00:59:04;12:08:44;Wednesday;14.2;25.3;7;-1;17;273;131;9;1;1;;;;Yes;Only you;0.02;Broken clouds, 10°C, Feels like 7°C, Humidity 84%, Wind 4m/s from WNW - by Klimat.app;;Garmin Edge 520 Plus;6620755079
01/30/2022;Walk;; Ochtendrit;6.70;101;01:48:48;01:33:20;10:57:44;Sunday;4.3;8.6;-115;-135;13;188;;;;1;;;;Yes;Only you;0.10;Few clouds, 7°C, Feels like 7°C, Humidity 72%, Wind 1m/s from WNW - by Klimat.app;;Garmin Edge 520 Plus;6609172640
01/25/2022;Ride;Stadsfiets; Middagrit;6.85;5;00:24:55;00:24:02;16:37:49;Tuesday;17.1;22.9;3;-1;11;125;54;1;;1;;;;Yes;Only you;0.92;Overcast clouds, 3°C, Feels like 3°C, Humidity 83%, Wind 1m/s from SW - by Klimat.app;;Garmin Edge 520 Plus;6579789970
01/24/2022;Ride;Stadsfiets; Middagrit;18.76;45;01:37:10;01:06:31;14:32:18;Monday;16.9;24.0;13;-2;12;350;163;18;6;1;;;;Yes;Only you;0.82;;;Garmin Edge 520 Plus;6574538287
01/22/2022;Ride;Racefiets Wilier Mortirolo (2009); BRM 200 BUNNIK: ONDER NAP [AFGELAST];200.10;318;08:36:42;07:49:24;08:02:49;Saturday;25.6;33.2;8;-19;6;5,351;2,63;219;137;1;22;6;2;;Everyone;1.10;Nou, dan maar alleen, komt het tegenwoordig toch al op neer omdat er geen gezamenlijke start meer is. Van de week definitief ingeschreven voor het pilgrimbrevet op 23-27 juli. Dus nu een beetje gaan trainen😊. Viel nog niet mee zolang op een fiets zitten. Broodjes haring in Breukelen kwamen mooi op tijd. In Zoetermeer de Pelgrimskerk gespot, ook toevallig!;;Garmin Edge 520 Plus;6564239087
01/20/2022;Ride;Stadsfiets; Middagrit;13.29;16;00:44:00;00:43:19;16:27:33;Thursday;18.4;30.2;4;-2;13;256;116;9;1;1;;;;Yes;Only you;1.20;;;Garmin Edge 520 Plus;6554066173
